idx,code,parent_code,type,chapter,section,depth,branching_factor,subtree_size,is_leaf,description
11633,I63.81,I63.8,diagnosis,9,SEC_I60-I69,5,0,0,1,Other cerebral infarction due to occlusion or stenosis of small artery
11634,I63.89,I63.8,diagnosis,9,SEC_I60-I69,5,0,0,1,Other cerebral infarction
11635,I63.9,I63,diagnosis,9,SEC_I60-I69,4,0,0,1,"Cerebral infarction, unspecified"
11636,I65,SEC_I60-I69,diagnosis,9,SEC_I60-I69,3,5,13,0,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
11637,I65.0,I65,diagnosis,9,SEC_I60-I69,4,4,4,0,Occlusion and stenosis of vertebral artery
11638,I65.01,I65.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of right vertebral artery
11639,I65.02,I65.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of left vertebral artery
11640,I65.03,I65.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of bilateral vertebral arteries
11641,I65.09,I65.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of unspecified vertebral artery
11642,I65.1,I65,diagnosis,9,SEC_I60-I69,4,0,0,1,Occlusion and stenosis of basilar artery
11643,I65.2,I65,diagnosis,9,SEC_I60-I69,4,4,4,0,Occlusion and stenosis of carotid artery
11644,I65.21,I65.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of right carotid artery
11645,I65.22,I65.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of left carotid artery
11646,I65.23,I65.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of bilateral carotid arteries
11647,I65.29,I65.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of unspecified carotid artery
11648,I65.8,I65,diagnosis,9,SEC_I60-I69,4,0,0,1,Occlusion and stenosis of other precerebral arteries
11649,I65.9,I65,diagnosis,9,SEC_I60-I69,4,0,0,1,Occlusion and stenosis of unspecified precerebral artery
11650,I66,SEC_I60-I69,diagnosis,9,SEC_I60-I69,3,6,18,0,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
11651,I66.0,I66,diagnosis,9,SEC_I60-I69,4,4,4,0,Occlusion and stenosis of middle cerebral artery
11652,I66.01,I66.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of right middle cerebral artery
11653,I66.02,I66.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of left middle cerebral artery
11654,I66.03,I66.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of bilateral middle cerebral arteries
11655,I66.09,I66.0,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of unspecified middle cerebral artery
11656,I66.1,I66,diagnosis,9,SEC_I60-I69,4,4,4,0,Occlusion and stenosis of anterior cerebral artery
11657,I66.11,I66.1,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of right anterior cerebral artery
11658,I66.12,I66.1,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of left anterior cerebral artery
11659,I66.13,I66.1,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of bilateral anterior cerebral arteries
11660,I66.19,I66.1,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of unspecified anterior cerebral artery
11661,I66.2,I66,diagnosis,9,SEC_I60-I69,4,4,4,0,Occlusion and stenosis of posterior cerebral artery
11662,I66.21,I66.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of right posterior cerebral artery
11663,I66.22,I66.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of left posterior cerebral artery
11664,I66.23,I66.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of bilateral posterior cerebral arteries
11665,I66.29,I66.2,diagnosis,9,SEC_I60-I69,5,0,0,1,Occlusion and stenosis of unspecified posterior cerebral artery
11666,I66.3,I66,diagnosis,9,SEC_I60-I69,4,0,0,1,Occlusion and stenosis of cerebellar arteries
